,url,start,end,subtitle
343,https://www.youtube.com/watch?v=nos-aVtxvGo&index=3&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:10,202","00:00:12,500",안녕하세요 저는 송해연입니다
1075,https://www.youtube.com/watch?v=4RIAXlLt95w&index=6&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:12,324","00:00:14,106",안녕하세요
1369,https://www.youtube.com/watch?v=WCVuo3xUr7U&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=7,"00:00:20,054","00:00:22,434",네 안녕하세요 조수용입니다
1612,https://www.youtube.com/watch?v=A_zuHvBlvkA&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=8,"00:00:14,000","00:00:15,740",안녕하십니까 아주대학교 외과에서 근무하는
2050,https://www.youtube.com/watch?v=qI2-jjMmV8M&index=9&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:13,452","00:00:18,274","여러분, 안녕하세요 반갑습니다"
2878,https://www.youtube.com/watch?v=5wfnrEbXsxE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=12,"00:00:14,283","00:00:20,202",안녕하세요 MBC  드라마 PD 김민식입니다
3043,https://www.youtube.com/watch?v=5wfnrEbXsxE&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=12,"00:08:46,444","00:08:49,548","저 혼자 방긋방긋 웃으면서 ""안녕하세요, 선생님~"""
3202,https://www.youtube.com/watch?v=qMR6q4GE-H8&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=13,"00:00:49,831","00:00:53,630",안녕하세요 '뇌 속에는  또 다른 뇌가 있다' 의 저자
3453,https://www.youtube.com/watch?v=GhbTQenkOA4&index=14&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:19,918","00:00:23,318",안녕하세요
3535,https://www.youtube.com/watch?v=GhbTQenkOA4&index=14&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:05:31,928","00:05:35,809","뭘 하냐하면 ""안녕하세요"" 얘기도 하고 악수도 하고 여러가지 말을 걸어 줍니다"
3714,https://www.youtube.com/watch?v=g7JDyhS7Ahk&index=15&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:20,680","00:00:23,222",안녕하세요
3715,https://www.youtube.com/watch?v=g7JDyhS7Ahk&index=15&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:25,382","00:00:28,074",안녕하세요 김창옥입니다
3729,https://www.youtube.com/watch?v=g7JDyhS7Ahk&index=15&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:01:25,637","00:01:29,809",“안녕하세요 고객님 어서 오십시오” 라고 하는 건 어렵지 않아요
3732,https://www.youtube.com/watch?v=g7JDyhS7Ahk&index=15&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:01:34,739","00:01:37,818",“안녕하십니까 고객님 어서 오십시오”
3735,https://www.youtube.com/watch?v=g7JDyhS7Ahk&index=15&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:01:45,010","00:01:48,920",“안녕하십니까~~~” (이상한 목소리)
3877,https://www.youtube.com/watch?v=g7JDyhS7Ahk&index=15&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:10:46,199","00:10:49,540",안녕하세요 이렇게  정신적으로 문제가 있어서 왔습니다
3886,https://www.youtube.com/watch?v=g7JDyhS7Ahk&index=15&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:11:18,710","00:11:20,590","제가 이렇게  ""안녕하세요 이렇게 왔습니다"""
