index,end,start,subtitle,url
0,"00:50:08,640","0:50:1,876",Until they're good enough.,https://www.youtube.com/watch?v=uc2_iwVqrRI
1,"00:11:24,340","0:11:18,610",So they're the same.,https://www.youtube.com/watch?v=Keqep_PKrY8
2,"00:31:46,900","0:31:13,940", би And they,https://www.youtube.com/watch?v=6jL1oTEYd0s
3,"00:52:32,070","00:52:23,390",they look like this.,https://www.youtube.com/watch?v=6jL1oTEYd0s
4,"00:44:14,680","0:44:12,180",Why do they do that?,https://www.youtube.com/watch?v=TA7TmyAgImU
5,"00:40:36,590","0:40:33,426","Yes, they are.",https://www.youtube.com/watch?v=OQQ-W_63UgQ
6,"00:43:42,750","0:43:36,340",But they will all basically end up in here.,https://www.youtube.com/watch?v=Lg6MZw_OOLI
7,"00:44:27,810","0:44:23,240",And they never quite did that.,https://www.youtube.com/watch?v=IxQtK2SjWWM
8,"00:52:16,760","0:52:13,320",What do they do?,https://www.youtube.com/watch?v=PgyM0v0vG4s
9,"01:17:56,510","1:17:49,10",And so they're always non-negative.,https://www.youtube.com/watch?v=2DYxT4OMAmw
